Address	Ordinal	Name	Library
828AAF5C	132	KeQuerySystemTime	xboxkrnl.exe
828AAF6C	307	RtlMultiByteToUnicodeN	xboxkrnl.exe
828AAF7C	25	ExTerminateThread	xboxkrnl.exe
828AAF8C	245	NtResumeThread	xboxkrnl.exe
828AAF9C	232	NtQueryInformationFile	xboxkrnl.exe
828AAFAC	219	NtFlushBuffersFile	xboxkrnl.exe
828AAFBC	206	NtClearEvent	xboxkrnl.exe
828AAFCC	250	NtSetTimerEx	xboxkrnl.exe
828AAFDC	215	NtCreateTimer	xboxkrnl.exe
828AAFEC	246	NtSetEvent	xboxkrnl.exe
828AAFFC	212	NtCreateMutant	xboxkrnl.exe
828AB00C	242	NtReleaseMutant	xboxkrnl.exe
828AB01C	218	NtDuplicateObject	xboxkrnl.exe
828AB02C	257	NtYieldExecution	xboxkrnl.exe
828AB03C	33	FscSetCacheElementCount	xboxkrnl.exe
828AB04C	32	FscGetCacheElementCount	xboxkrnl.exe
828AB05C	319	RtlTimeFieldsToTime	xboxkrnl.exe
828AB06C	15	ExFreePool	xboxkrnl.exe
828AB07C	9	ExAllocatePool	xboxkrnl.exe
828AB08C	281	RtlCaptureContext	xboxkrnl.exe
828AB0EC	509	XAudioQueryDriverPerformance	xboxkrnl.exe
828AB0FC	133	KeRaiseIrqlToDpcLevel	xboxkrnl.exe
828AB10C	179	KfLowerIrql	xboxkrnl.exe
828AB11C	174	KeTryToAcquireSpinLockAtRaisedIrql	xboxkrnl.exe
828AB12C	127	KePulseEvent	xboxkrnl.exe
828AB13C	175	KeWaitForMultipleObjects	xboxkrnl.exe
828AB14C	504	XAudioGetVoiceCategoryVolume	xboxkrnl.exe
828AB15C	503	XAudioGetVoiceCategoryVolumeChangeMask	xboxkrnl.exe
828AB16C	10	ExAllocatePoolWithTag	xboxkrnl.exe
828AB17C	185	MmAllocatePhysicalMemory	xboxkrnl.exe
828AB18C	499	XAudioRegisterRenderDriverClient	xboxkrnl.exe
828AB19C	500	XAudioUnregisterRenderDriverClient	xboxkrnl.exe
828AB1AC	501	XAudioSubmitRenderDriverFrame	xboxkrnl.exe
828AB1BC	567	XMASetInputBufferReadOffset	xboxkrnl.exe
828AB1CC	565	XMABlockWhileInUse	xboxkrnl.exe
828AB1DC	566	XMASetLoopData	xboxkrnl.exe
828AB1EC	205	NtCancelTimer	xboxkrnl.exe
828AB1FC	269	ObOpenObjectByName	xboxkrnl.exe
828AB20C	226	NtPulseEvent	xboxkrnl.exe
828AB21C	213	NtCreateSemaphore	xboxkrnl.exe
828AB22C	243	NtReleaseSemaphore	xboxkrnl.exe
828AB23C	251	NtSignalAndWaitForSingleObjectEx	xboxkrnl.exe
828AB24C	254	NtWaitForMultipleObjectsEx	xboxkrnl.exe
